id,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren
4,8,0,0,0,0,0,0,0,0,0,1,2,1,1
14,7,0,0,0,0,0,0,0,0,1,0,2,1,0
16,5,1,1,0,0,0,0,0,0,0,0,1,1,0
43,6,0,0,0,1,0,0,0,0,0,0,2,1,0
44,8,0,0,0,0,0,0,0,0,0,0,2,1,0
49,6,0,0,0,1,0,0,0,0,0,0,1,1,0
60,6,0,0,0,1,0,0,0,0,0,0,2,1,0
67,1,0,0,0,0,1,0,0,0,0,0,0,0,0
77,9,0,0,0,0,0,0,0,0,0,0,0,0,0
78,9,0,0,0,0,0,0,0,0,0,0,0,0,0
84,6,0,0,0,1,0,0,0,0,0,0,2,1,0
102,1,0,0,0,0,1,0,0,0,0,0,0,0,0
104,8,0,0,0,0,0,0,0,0,0,0,2,1,0
114,9,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1,0,0,0,0,1,0,0,0,0,0,0,0,0
135,8,0,0,0,0,0,0,0,0,0,0,2,1,0
143,8,0,0,0,0,0,0,0,0,0,0,3,1,0
146,8,0,0,0,0,0,0,0,0,0,0,2,1,0
147,8,0,0,0,0,0,0,0,0,0,0,3,1,0
158,1,0,0,0,0,1,0,0,0,0,0,0,0,0
170,7,0,0,0,0,0,0,0,0,1,1,2,1,1
193,0,0,1,1,0,0,0,0,0,0,0,0,0,0
205,8,0,0,0,0,0,0,0,0,0,0,2,1,0
208,0,0,1,1,0,0,0,0,0,0,0,0,0,0
218,6,0,0,0,1,0,0,0,0,0,0,2,1,0
235,2,0,0,0,0,0,0,1,0,0,1,1,1,1
237,6,0,0,0,1,0,0,0,0,0,0,2,1,0
242,6,0,0,0,1,0,0,0,0,0,0,2,1,0
250,7,0,0,0,0,0,0,0,0,1,1,2,1,1
253,8,0,0,0,0,0,0,0,0,0,0,2,1,0
257,10,0,0,0,0,0,0,0,0,0,0,1,1,0
259,8,0,0,0,0,0,0,0,0,0,0,1,1,0
267,6,0,0,0,1,0,0,0,0,0,0,2,1,0
268,7,0,0,0,0,0,0,0,0,1,3,2,1,1
270,7,0,0,0,0,0,0,0,0,1,2,2,1,1
280,8,0,0,0,0,0,0,0,0,0,0,2,1,0
293,7,0,0,0,0,0,0,0,0,1,0,1,1,0
303,0,0,1,1,0,0,0,0,0,0,0,0,0,0
304,6,0,0,0,1,0,0,0,0,0,0,2,1,0
317,5,1,1,0,0,0,0,0,0,0,0,1,1,0
319,8,0,0,0,0,0,0,0,0,0,0,2,1,0
321,6,0,0,0,1,0,0,0,0,0,0,2,1,0
