,id,ages_mean,gender_codes,family_size,income_list,expenditure_list,resident_codes,region_codes,NumCookingEquip_list,NumWashMach_list,NumDryer_list,NumTV_list,NumPC_list,NumFluLamp_codes,NumIcdLamp_codes,NumESLamp_codes,NumHeater_list,NumWaterHeater_list,NumAC_list,NumVehicle_codes,HouseAge_codes,WindowFrame_codes,GlassType_codes,Reno_WindowGlass_codes,Reno_WindowGap_codes,Reno_Wall_codes,Reno_OtherHeatInsu_codes,WinterSunshine_codes,SummerSunshine_codes,Weektime_list,Cookingtime_codes,Fridgetime_codes,Washmachinetime_codes,TVtime_codes,PCtime_codes,FluLamptime_codes,IcdLamptime_codes,ESLamptime_codes,MthHeattime_codes,DayHeatertime_codes,Waterheatingtime_codes,ACtime_codes,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren,income_percapita,expenditure_percapita,Unnamed: 0,ac_emission,computer_emission,cooking_emission,freezing_emission,heating_emission,laundry_emission,lighting_emission,television_emission,vehicle_emission,waterheating_emission,percapita_ac_emission,percapita_computer_emission,percapita_cooking_emission,percapita_freezing_emission,percapita_heating_emission,percapita_laundry_emission,percapita_lighting_emission,percapita_television_emission,percapita_vehicle_emission,percapita_waterheating_emission,TotalHouseholdEmission,percapita_HouseholdEmission
0,4,44.25,0,4,72000,90000,0,0,2,1,0,2,1,999999.0,999999.0,5.5,999999,1,1,0,999999,999999,1,6,6,6,6,4,6,6,3,4,3,0,2,999999,999999,2,2,999999,4,0,8,0,0,0,0,0,0,0,0,0,1,2,1,1,18000.0,22500.0,0,6.532903125,32.59308,487.904625,18.51177041,2625.0,30.576,4.217928,0.0,0.0,240.0446829,1.63322578125,8.14827,121.97615625,4.6279426025,656.25,7.644,1.054482,0.0,0.0,60.011170725,3445.3809894349997,861.3452473587499
1,14,50.33333333,0,6,70000,9999998,0,0,5,2,0,4,1,999999.0,999999.0,5.5,1,2,2,1,4,0,0,3,3,3,3,999999,999999,7,2,4,3,2,1,999999,999999,1,4,8,1,2,7,0,0,0,0,0,0,0,0,1,0,2,1,0,11666.66667,1666666.333,1,29.38078125,5.368272,362.7030225,0.0,860.706,0.0,2.9525496,0.0,3642.4575,595.0198504,4.896796875,0.8947120000000001,60.450503749999996,0.0,143.451,0.0,0.4920916,0.0,607.07625,99.16997506666667,5498.587975750001,916.4313292916668
2,16,80.0,0,1,0,18620,0,0,2,1,0,1,0,999999.0,999999.0,2.5,999999,0,0,0,4,2,0,6,5,6,6,1,1,7,1,4,999999,2,999999,999999,999999,3,3,999999,999999,999999,5,1,1,0,0,0,0,0,0,0,0,1,1,0,0.0,18620.0,2,0.0,0.0,202.744966667,31.90946979,1366.2,0.0,4.026204,33.5517,0.0,0.0,0.0,0.0,202.744966667,31.90946979,1366.2,0.0,4.026204,33.5517,0.0,0.0,1638.432340457,1638.432340457
3,43,60.5,1,2,50000,21700,0,0,5,1,0,2,0,999999.0,999999.0,5.5,999999,1,1,0,5,2,1,5,3,5,6,7,8,7,1,4,2,4,999999,999999,999999,3,3,999999,2,8,6,0,0,0,1,0,0,0,0,0,0,2,1,0,25000.0,10850.0,3,219.3765,0.0,200.4149875,14.80941633,519.12,7.28,8.8576488,147.62748,0.0,139.79875,109.68825,0.0,100.20749375,7.404708165,259.56,3.64,4.4288244,73.81374,0.0,69.899375,1257.2847826299999,628.6423913149999
4,44,53.0,0,3,340000,60000,0,0,3,1,0,2,2,2.5,999999.0,2.5,1,1,3,1,7,2,1,5,5,5,5,4,6,7,1,4,1,5,3,3,999999,3,999999,999999,0,5,8,0,0,0,0,0,0,0,0,0,0,2,1,0,113333.3333,20000.0,4,0.0,19.683664,240.956625,23.96752027,0.0,0.0,24.157224,0.0,0.0,279.5429444,0.0,6.561221333333333,80.318875,7.989173423333334,0.0,0.0,8.052408,0.0,0.0,93.18098146666667,588.30797767,196.10265922333335
5,49,54.5,0,2,60000,38600,1,0,2,0,0,1,0,999999.0,999999.0,2.5,999999,0,0,0,999999,0,0,6,6,6,6,5,8,0,1,999999,999999,3,999999,999999,999999,3,999999,999999,999999,999999,6,0,0,0,1,0,0,0,0,0,0,1,1,0,30000.0,19300.0,5,0.0,0.0,0.0,0.0,1437.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.75,0.0,0.0,0.0,0.0,0.0,1437.5,718.75
6,60,71.5,1,2,31200,13900,0,0,2,1,0,1,0,2.5,999999.0,2.5,999999,1,1,0,4,2,1,5,6,5,6,2,5,7,4,4,2,3,999999,3,999999,0,4,999999,1,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,15600.0,6950.0,6,5.7609375,0.0,531.606712,14.80941633,1416.8,4.47356,21.025732,120.78612,0.0,280.0521301,2.88046875,0.0,265.803356,7.404708165,708.4,2.23678,10.512866,60.39306,0.0,140.02606505,2395.31460793,1197.657303965
7,67,43.5,0,2,50000,24500,0,0,3,1,0,2,1,999999.0,999999.0,8.5,999999,1,2,0,4,2,1,5,6,6,6,4,7,6,1,4,2,2,3,999999,999999,2,3,999999,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,25000.0,12250.0,7,0.0,49.177206,284.65889400000003,31.90946979,1012.0,5.43218,6.518616,57.5172,0.0,213.9826888,0.0,24.588603,142.32944700000002,15.954734895,506.0,2.71609,3.259308,28.7586,0.0,106.9913444,1661.19625459,830.598127295
8,77,36.25,1,4,80000,45000,1,0,1,1,0,1,1,999999.0,999999.0,5.5,999999,1,1,0,2,2,0,6,6,6,6,2,3,7,1,4,1,2,2,999999,999999,3,3,999999,2,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,20000.0,11250.0,8,0.0,31.874115,217.6218135,0.0,1267.2,1.789424,8.8576488,44.7356,0.0,139.79875,0.0,7.96852875,54.405453375,0.0,316.8,0.447356,2.2144122,11.1839,0.0,34.9496875,1711.8773513,427.969337825
9,78,39.25,0,4,50000,37000,1,0,2,1,0,1,0,999999.0,999999.0,5.5,1,0,0,0,3,0,0,5,6,5,6,5,7,7,1,4,2,2,999999,999999,999999,2,999999,1,999999,999999,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12500.0,9250.0,9,0.0,0.0,78.60762,19.14568188,0.0,0.559195,4.920916,44.7356,0.0,0.0,0.0,0.0,19.651905,4.78642047,0.0,0.13979875,1.230229,11.1839,0.0,0.0,147.96901288,36.99225322
