,NumVehicle_codes,TVtime_codes,IF_coupleA,Reno_WindowGlass_codes,IF_existChildren,WindowFrame_codes,GlassType_codes,IF_existElderly,SummerSunshine_codes,NumWaterHeater_list,Reno_OtherHeatInsu_codes,NumTV_list,gender_codes,NumAC_list,IF_single_elderly,IF_singleWithChildren,elderNumber,Weektime_list,percapita_HouseholdEmission,expenditure_percapita,IF_grandparentKids,IF_bigFamily,HouseAge_codes,NumCookingEquip_list,IF_coupleWithChildren,Cookingtime_codes,family_size,IF_couple_elderly,NumPC_list,childrenNumber,NumWashMach_list,IF_singleAE,demographicType,ages_mean,NumDryer_list,income_percapita,expenditure_list,WinterSunshine_codes,IF_singleA,income_list,Reno_WindowGap_codes,Reno_Wall_codes,cluster
2,0,2.0,0,6.0,0,2.0,0.0,1,1.0,0,6.0,1,0,0,1,0,1,7,1638.432340457,18620.0,0,0,4.0,2,0,1.0,1,0,0,0,1,1,5,80.0,0,0.0,18620.0,1.0,0,0,5.0,6.0,0
3,0,4.0,0,5.0,0,2.0,1.0,1,8.0,1,6.0,2,1,1,0,0,2,7,628.6423913149999,10850.0,0,0,5.0,5,0,1.0,2,1,0,0,1,0,6,60.5,0,25000.0,21700.0,7.0,0,50000,3.0,5.0,1
6,0,3.0,0,5.0,0,2.0,1.0,1,5.0,1,6.0,1,1,1,0,0,2,7,1197.657303965,6950.0,0,0,4.0,2,0,4.0,2,1,0,0,1,0,6,71.5,0,15600.0,13900.0,2.0,0,31200,6.0,5.0,0
7,0,2.0,1,5.0,0,2.0,1.0,0,7.0,1,6.0,2,0,2,0,0,0,6,830.598127295,12250.0,0,0,4.0,3,0,1.0,2,0,1,0,1,0,1,43.5,0,25000.0,24500.0,4.0,0,50000,6.0,6.0,1
8,0,2.0,0,6.0,0,2.0,0.0,0,3.0,1,6.0,1,1,1,0,0,0,7,427.969337825,11250.0,0,0,2.0,1,0,1.0,4,0,1,0,1,0,9,36.25,0,20000.0,45000.0,2.0,0,80000,6.0,6.0,0
9,0,2.0,0,5.0,0,0.0,0.0,0,7.0,0,6.0,1,0,0,0,0,0,7,36.99225322,9250.0,0,0,3.0,2,0,1.0,4,0,0,0,1,0,9,39.25,0,12500.0,37000.0,5.0,0,50000,6.0,5.0,0
10,0,4.0,0,5.0,0,2.0,1.0,1,4.0,1,5.0,1,1,1,0,0,2,7,685.30358236,25000.0,0,0,4.0,4,0,2.0,2,1,0,0,1,0,6,69.5,0,25000.0,50000.0,1.0,0,50000,5.0,5.0,1
15,0,2.0,0,4.0,0,1.0,0.0,1,2.0,1,4.0,1,1,0,0,0,2,7,387.90730046566665,29700.0,0,0,5.0,3,0,4.0,3,0,0,0,1,0,8,62.66666667,0,33333.33333,89100.0,2.0,0,100000,4.0,6.0,1
18,0,5.0,0,6.0,0,2.0,1.0,1,8.0,1,6.0,3,0,3,0,0,3,7,1121.2368500066666,11466.66667,0,0,6.0,7,0,4.0,3,0,1,0,1,0,8,69.66666667,0,46666.66667,34400.0,8.0,0,140000,6.0,6.0,1
22,1,1.0,0,6.0,0,0.0,1.0,1,8.0,0,6.0,1,1,3,0,0,2,7,692.72191175,8250.0,0,0,6.0,10,0,3.0,4,0,1,0,1,0,8,47.5,0,45000.0,33000.0,7.0,0,180000,6.0,6.0,1
