,Unnamed: 0,id,ages_mean,gender_codes,family_size,income_list,expenditure_list,resident_codes,region_codes,NumCookingEquip_list,NumWashMach_list,NumDryer_list,NumTV_list,NumPC_list,NumFluLamp_codes,NumIcdLamp_codes,NumESLamp_codes,NumHeater_list,NumWaterHeater_list,NumAC_list,NumVehicle_codes,HouseAge_codes,WindowFrame_codes,GlassType_codes,Reno_WindowGlass_codes,Reno_WindowGap_codes,Reno_Wall_codes,Reno_OtherHeatInsu_codes,WinterSunshine_codes,SummerSunshine_codes,Weektime_list,Cookingtime_codes,Fridgetime_codes,Washmachinetime_codes,TVtime_codes,PCtime_codes,FluLamptime_codes,IcdLamptime_codes,ESLamptime_codes,MthHeattime_codes,DayHeatertime_codes,Waterheatingtime_codes,ACtime_codes,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren,income_percapita,expenditure_percapita,en_ac,en_computer,en_cooking,en_freezing,en_heating,en_laundry,en_lighting,en_television,en_vehicle,en_waterheating,en_total,en_total_no_vehicle,gender,age,house_area,resident,media,outside,aware_trust,aware_harm,aware_justice,aware_happy,job,income,raw_income,size,expenditure,live_days,income_percap,num_cooking,power_cooking,freq_cooking,time_cooking,num_water_heater,freq_water_heater,time_water_heater,label_water_heater,num_ac,freq_ac,power_ac,time_ac,label_ac,type_heating,time_heating,area_heating,cost_heating,own_vehicle,emit_vehicle,fuel_vehicle,fuel_price_vehicle,cost_vehicle,vehicle_num,vehicle_dist,vehicle_fuel,vehicle_use,fuel1,fuel2,fuel3,fuel4,fuel5,fuel6,fuel7,fuel8,fuel9,fuel10,percapita_en_ac,percapita_en_computer,percapita_en_cooking,percapita_en_freezing,percapita_en_heating,percapita_en_laundry,percapita_en_lighting,percapita_en_television,percapita_en_vehicle,percapita_en_waterheating,TotalHouseholdEnergyUse,percapita_HouseholdEnergyUse
0,0,4,44.25,0,4,72000,90000,0,0,2,1,0,2,1,999999.0,999999.0,5.5,999999,1,1,0,999999,999999,1,6,6,6,6,4,6,6,3,4,3,0,2,999999,999999,2,2,999999,4,0,8,0,0,0,0,0,0,0,0,0,1,2,1,1,18000.0,22500.0,0.108881719,32.59308,487.904625,18.51177041,1913.265306,30.576,4.217928,0.0,0.0,240.0446829,2727.113392,2727.222274,-1,66,2,1,4,3,-99,-99,3,3,0,4,72000,4,90000,6,18000.0,2,1250.0,3.0,45.0,1,0.429,90.0,1.0,1,1.0,4000.0,60.0,1.0,0,2.5,105,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0.02722042975,8.14827,121.97615625,4.6279426025,478.3163265,7.644,1.054482,0.0,0.0,60.011170725,2727.222274029,681.80556850725
1,1,14,50.33333333,0,6,70000,9999998,0,0,5,2,0,4,1,999999.0,999999.0,5.5,1,2,2,1,4,0,0,3,3,3,3,999999,999999,7,2,4,3,2,1,999999,999999,1,4,8,1,2,7,0,0,0,0,0,0,0,0,1,0,2,1,0,11666.66667,1666666.333,0.489679688,5.368272,362.7030225,0.0,1129.206122,0.0,2.9525496,0.0,3642.4575,595.0198504,5737.707317,2095.739497,-1,51,4,1,4,1,5,2,5,5,0,4,70000,5,-99,7,14000.0,5,-99.0,1.607,45.0,2,0.857,22.5,-99.0,2,1.5,3366.667,120.0,-99.0,1,4.5,120,6000,1,-99.0,11.0,7.5,-99,1,2.25,1,11.0,0,0,0,0,1,0,0,0,0,0,0.0979359376,1.0736544000000001,72.5406045,0.0,225.84122440000002,0.0,0.59050992,0.0,728.4915,119.00397008,5738.196996188,1147.6393992376002
2,2,16,80.0,0,1,0,18620,0,0,2,1,0,1,0,999999.0,999999.0,2.5,999999,0,0,0,4,2,0,6,5,6,6,1,1,7,1,4,999999,2,999999,999999,999999,3,3,999999,999999,999999,5,1,1,0,0,0,0,0,0,0,0,1,1,0,0.0,18620.0,0.0,0.0,202.7449667,31.90946979,1394.081633,0.0,4.026204,33.5517,0.0,0.0,1666.313973,1666.313973,-1,80,2,1,4,1,-99,3,4,4,0,0,0,1,18620,7,0.0,2,1250.0,1.714,18.75,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,0,3.5,60,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,202.7449667,31.90946979,1394.081633,0.0,4.026204,33.5517,0.0,0.0,1666.31397349,1666.31397349
3,3,43,60.5,1,2,50000,21700,0,0,5,1,0,2,0,999999.0,999999.0,5.5,999999,1,1,0,5,2,1,5,3,5,6,7,8,7,1,4,2,4,999999,999999,999999,3,3,999999,2,8,6,0,0,0,1,0,0,0,0,0,0,2,1,0,25000.0,10850.0,3.656275,0.0,200.4149875,14.80941633,529.7142857,7.28,8.8576488,147.62748,0.0,139.79875,1048.502568,1052.158843,1,63,1,1,4,1,-99,3,4,4,0,3,50000,2,21700,7,25000.0,5,600.0,1.05,24.375,1,1.0,37.5,1.0,1,3.5,3333.333,480.0,3.0,0,3.5,40,0,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,1.8281375,0.0,100.20749375,7.404708165,264.85714285,3.64,4.4288244,73.81374,0.0,69.899375,1052.1588433299999,526.0794216649999
4,4,44,53.0,0,3,340000,60000,0,0,3,1,0,2,2,2.5,999999.0,2.5,1,1,3,1,7,2,1,5,5,5,5,4,6,7,1,4,1,5,3,3,999999,3,999999,999999,0,5,8,0,0,0,0,0,0,0,0,0,0,2,1,0,113333.3333,20000.0,0.0,19.683664,240.956625,23.96752027,0.0,0.0,24.157224,0.0,0.0,279.5429444,588.3079777,588.3079777,-1,32,2,1,5,3,-99,2,4,5,2,6,340000,3,60000,7,113333.3333,3,1250.0,3.0,17.5,1,3.0,15.0,2.0,1,2.833,2600.0,330.0,1.667,2,-99.0,-99,-99,1,2.75,-99.0,-99.0,0,1,0.0,7,0.0,0,0,1,0,0,1,0,0,0,0,0.0,6.561221333333333,80.318875,7.989173423333334,0.0,0.0,8.052408,0.0,0.0,93.18098146666667,588.30797767,196.10265922333335
5,5,49,54.5,0,2,60000,38600,1,0,2,0,0,1,0,999999.0,999999.0,2.5,999999,0,0,0,999999,0,0,6,6,6,6,5,8,0,1,999999,999999,3,999999,999999,999999,3,999999,999999,999999,999999,6,0,0,0,1,0,0,0,0,0,0,1,1,0,30000.0,19300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,52,0,0,4,1,5,-99,5,4,2,4,60000,2,38600,0,30000.0,2,850.0,3.0,22.5,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,3,-99.0,-99,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,60,71.5,1,2,31200,13900,0,0,2,1,0,1,0,2.5,999999.0,2.5,999999,1,1,0,4,2,1,5,6,5,6,2,5,7,4,4,2,3,999999,3,999999,0,4,999999,1,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,15600.0,6950.0,0.096015625,0.0,531.606712,14.80941633,1858.77551,4.47356,21.025732,120.78612,0.0,280.0521301,2831.529181,2831.625196,1,57,2,1,4,1,2,-99,4,5,0,3,31200,2,13900,7,15600.0,2,150.0,1.214,52.5,1,0.429,22.5,1.0,1,1.0,2666.667,60.0,1.0,0,4.5,80,2224,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0.0480078125,0.0,265.803356,7.404708165,929.387755,2.23678,10.512866,60.39306,0.0,140.02606505,2831.625196055,1415.8125980275
7,7,67,43.5,0,2,50000,24500,0,0,3,1,0,2,1,999999.0,999999.0,8.5,999999,1,2,0,4,2,1,5,6,6,6,4,7,6,1,4,2,2,3,999999,999999,2,3,999999,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,25000.0,12250.0,0.0,49.177206,284.658894,31.90946979,1032.653061,5.43218,6.518616,57.5172,0.0,213.9826888,1681.849316,1681.849316,-1,40,2,1,6,4,2,-99,3,3,2,3,50000,3,24500,6,16666.66667,3,1250.0,2.0,22.5,1,1.0,15.0,3.0,1,1.5,2633.333,300.0,1.0,0,3.5,40,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,1,0,0,0,0,0,0.0,16.392402,94.886298,10.63648993,344.217687,1.8107266666666666,2.172872,19.1724,0.0,71.32756293333334,1681.84931559,560.61643853
8,8,77,36.25,1,4,80000,45000,1,0,1,1,0,1,1,999999.0,999999.0,5.5,999999,1,1,0,2,2,0,6,6,6,6,2,3,7,1,4,1,2,2,999999,999999,3,3,999999,2,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,20000.0,11250.0,0.0,31.874115,217.6218135,0.0,1293.061224,1.789424,8.8576488,44.7356,0.0,139.79875,1737.738576,1737.738576,1,24,1,0,5,3,-99,-99,3,4,2,4,80000,2,45000,7,40000.0,1,-99.0,3.0,22.5,1,2.0,37.5,2.0,1,2.5,3333.333,210.0,2.0,0,3.5,40,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,1,0,0,0,0,0,0.0,15.9370575,108.81090675,0.0,646.530612,0.894712,4.4288244,22.3678,0.0,69.899375,1737.7385753,868.86928765
9,9,78,39.25,0,4,50000,37000,1,0,2,1,0,1,0,999999.0,999999.0,5.5,1,0,0,0,3,0,0,5,6,5,6,5,7,7,1,4,2,2,999999,999999,999999,2,999999,1,999999,999999,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12500.0,9250.0,0.0,0.0,78.60762,19.14568188,0.0,0.559195,4.920916,44.7356,0.0,0.0,147.9690129,147.9690129,-1,52,3,0,4,1,5,1,4,2,0,3,50000,4,37000,7,12500.0,2,600.0,2.5,22.5,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,2,-99.0,-99,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,19.651905,4.78642047,0.0,0.13979875,1.230229,11.1839,0.0,0.0,147.96901288,36.99225322
