,id,en_ac,en_computer,en_cooking,en_freezing,en_heating,en_laundry,en_lighting,en_television,en_vehicle,en_waterheating
0,4,3.266451563,32.59308,487.904625,18.51177041,1913.265306,30.576,4.217928,,0.0,240.0446829
1,14,14.69039063,5.368272,362.7030225,0.0,1129.206122,0.0,2.9525496,,3642.4575,595.0198504
2,16,,,202.744966667,31.90946979,1394.081633,0.0,4.026204,33.5517,0.0,
3,43,109.68825,,200.4149875,14.80941633,529.7142857,7.28,8.8576488,147.62748,0.0,139.79875
4,44,0.0,19.683664,240.956625,23.96752027,0.0,0.0,24.157224,,0.0,279.5429444
5,49,,,0.0,,0.0,,0.0,,0.0,
6,60,2.88046875,,531.606712,14.80941633,1858.77551,4.47356,21.025731999999998,120.78612,0.0,280.0521301
7,67,0.0,49.177206,284.65889400000003,31.90946979,1032.653061,5.43218,6.518616,57.5172,0.0,213.9826888
8,77,0.0,31.874115,217.6218135,0.0,1293.061224,1.789424,8.8576488,44.7356,0.0,139.79875
9,78,,,78.60762,19.14568188,0.0,0.559195,4.920916,44.7356,0.0,
10,84,2.88046875,,223.118805,37.02354082,878.2714286,0.559195,13.1522664,87.23442,0.0,143.052
11,102,0.0,0.0,0.0,0.0,430.4571429,0.0,0.0,0.0,0.0,0.0
12,104,80.653125,28.630784,272.55114249999997,37.02354082,1991.54519,7.28,8.8576488,107.36544,0.0,208.2569476
13,114,13.82625,22.144122,6.71034,14.85886253,255.3979592,15.84385833,4.026204,44.7356,0.0,208.2569476
14,118,,,282.3436525,,0.0,,2.23678,13.42068,0.0,
15,135,,,873.068870917,25.91647858,0.0,0.0,8.052408,33.5517,0.0,223.1324439
16,143,25.49214844,14.762748,331.695,0.0,1792.390671,,4.026204,,0.0,280.0521301
17,146,,0.0,0.0,15.9547349,3443.877551,0.0,0.0,0.0,0.0,0.0
18,147,90.02905077999999,98.865676,882.7432249999999,61.62719486,1952.186589,0.223678,4.5630312,248.28258,0.0,399.3470634
19,158,0.0,0.0,0.0,0.0,1464.139942,0.0,0.0,0.0,2980.1925,0.0
20,170,14.69039063,0.0,0.0,0.0,1530.612245,0.0,0.0,,0.0,0.0
21,193,10.081640626,68.445468,89.079596667,31.90946979,878.2714286,4.175322667,8.8576488,98.41832,2317.9275,312.0580878
22,205,7.7427,3.578848,497.6451025,15.9547349,1518.367347,5.824,82.13456160000001,,662.265,
23,208,,19.683664,42.2192225,0.0,0.0,,4.026204,,0.0,
24,218,5.807025,,199.017,0.0,728.8629738,4.47356,2.23678,67.1034,0.0,187.2348527
25,235,0.0,19.939296,288.14448,0.0,1793.571429,0.0,54.833064,,4966.9875,306.54
26,237,0.0,22.815156,155.146719,45.67245997,752.8040816,5.032755,8.8576488,60.39306,0.0,208.2569476
27,242,,,199.017,2.90086089,0.0,5.338666667,4.920916,,0.0,214.578
28,250,13.879058594,38.02526,123.240086667,12.76378792,1756.96793,5.032755,1.9683664,20.13102,1655.6625,83.87925
