id,type,use
4,cooking,398.034
4,cooking,89.870625
4,freezing,18.51177041
4,heating,1913.265306
4,laundry,30.576
4,computer,32.59308
4,lighting,4.217928
4,waterheating,240.0446829
4,ac,3.266451563
4,vehicle,0
14,cooking,362.7030225
14,cooking,0
14,cooking,0
14,cooking,0
14,freezing,0
14,freezing,0
14,heating,1129.206122
14,laundry,0
14,laundry,0
14,computer,5.368272
14,lighting,2.9525496
14,waterheating,297.5099252
14,waterheating,297.5099252
14,ac,14.69039063
14,vehicle,3642.4575
16,cooking,199.017
16,cooking,3.727966667
16,freezing,31.90946979
16,heating,1394.081633
16,laundry,0
16,television,33.5517
16,lighting,4.026204
16,vehicle,0
43,cooking,199.017
43,cooking,1.3979875
43,cooking,0
43,cooking,0
43,freezing,14.80941633
43,heating,529.7142857
43,laundry,7.28
43,television,87.23442
43,television,60.39306
43,lighting,8.8576488
43,waterheating,139.79875
43,ac,109.68825
43,vehicle,0
44,cooking,199.017
44,cooking,0
44,cooking,41.939625
44,freezing,23.96752027
44,heating,0
44,heating,0
44,heating,0
44,laundry,0
44,computer,16.104816
44,computer,3.578848
44,lighting,20.13102
44,lighting,4.026204
44,waterheating,279.5429444
44,ac,0
44,vehicle,0
49,cooking,0
49,cooking,0
49,heating,0
49,lighting,0
49,vehicle,0
60,cooking,530.712
60,cooking,0.894712
60,freezing,14.80941633
60,heating,1858.77551
60,laundry,4.47356
60,television,120.78612
60,lighting,20.13102
60,lighting,0.894712
60,waterheating,280.0521301
60,ac,2.88046875
60,vehicle,0
67,cooking,124.355322
67,cooking,124.355322
67,cooking,35.94825
67,freezing,31.90946979
67,heating,1032.653061
67,laundry,5.43218
67,television,28.7586
67,television,28.7586
67,computer,49.177206
67,lighting,6.518616
67,waterheating,213.9826888
67,ac,0
67,ac,0
67,vehicle,0
77,cooking,217.6218135
77,freezing,0
77,heating,1293.061224
77,laundry,1.789424
77,television,44.7356
77,computer,31.874115
77,lighting,8.8576488
77,waterheating,139.79875
77,ac,0
77,vehicle,0
78,cooking,58.4766
78,cooking,20.13102
78,freezing,19.14568188
78,heating,0
78,heating,0
78,heating,0
78,laundry,0.559195
78,television,44.7356
78,lighting,4.920916
78,vehicle,0
84,cooking,83.87925
84,cooking,125.818875
84,cooking,4.47356
84,cooking,8.94712
84,freezing,37.02354082
84,heating,878.2714286
84,laundry,0.559195
84,television,87.23442
84,lighting,11.1839
84,lighting,1.9683664
84,waterheating,143.052
84,ac,2.88046875
84,vehicle,0
102,cooking,0
102,cooking,0
102,cooking,0
102,freezing,0
102,heating,430.4571429
102,laundry,0
102,television,0
102,computer,0
102,computer,0
102,lighting,0
102,waterheating,0
102,ac,0
102,vehicle,0
104,cooking,2.795975
104,cooking,199.017
104,cooking,42.7784175
104,cooking,27.95975
104,freezing,37.02354082
104,heating,1991.54519
104,laundry,7.28
104,television,107.36544
104,computer,28.630784
104,lighting,8.8576488
104,waterheating,208.2569476
104,ac,0
104,ac,80.653125
104,vehicle,0
114,cooking,0
114,cooking,0
114,cooking,6.71034
114,freezing,14.85886253
114,heating,255.3979592
114,laundry,15.84385833
114,television,44.7356
114,computer,22.144122
