Unnamed: 0,id,province,prefecture,county,gender,age,house_area,resident,media,outside,aware_trust,aware_harm,aware_justice,aware_happy,job,income,raw_income,size,expenditure,live_days,income_percap,num_cooking,power_cooking,freq_cooking,time_cooking,num_water_heater,freq_water_heater,time_water_heater,label_water_heater,num_ac,freq_ac,power_ac,time_ac,label_ac,type_heating,time_heating,area_heating,cost_heating,own_vehicle,emit_vehicle,fuel_vehicle,fuel_price_vehicle,cost_vehicle,vehicle_num,vehicle_dist,vehicle_fuel,vehicle_use,fuel1,fuel2,fuel3,fuel4,fuel5,fuel6,fuel7,fuel8,fuel9,fuel10,prefecture_eng,region,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren,region_codes
0,4,北京市,北京市,朝阳区,-1,66,2,1,4,3,-99,-99,3,3,0,4,72000,4,90000,6,18000,2,1250,3,45,1,0.429,90,1,1,1,4000,60,1,0,2.5,105,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Beijing,0,8,0,0,0,0,0,0,0,0,0,1,2,1,1,0
1,14,北京市,北京市,海淀区,-1,51,4,1,4,1,5,2,5,5,0,4,70000,5,-99,7,14000,5,-99,1.607,45,2,0.857,22.5,-99,2,1.5,3366.667,120,-99,1,4.5,120,6000,1,-99,11,7.5,-99,1,2.25,1,11,0,0,0,0,1,0,0,0,0,0,Beijing,0,7,0,0,0,0,0,0,0,0,1,0,2,1,0,0
2,16,北京市,北京市,丰台区,-1,80,2,1,4,1,-99,3,4,4,0,0,0,1,18620,7,0,2,1250,1.714,18.75,0,-99,-99,-99,0,-99,-99,-99,-99,0,3.5,60,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Beijing,0,5,1,1,0,0,0,0,0,0,0,0,1,1,0,0
3,43,北京市,北京市,西城区,1,63,1,1,4,1,-99,3,4,4,0,3,50000,2,21700,7,25000,5,600,1.05,24.375,1,1,37.5,1,1,3.5,3333.333,480,3,0,3.5,40,0,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Beijing,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,0
4,44,北京市,北京市,大兴区,-1,32,2,1,5,3,-99,2,4,5,2,6,340000,3,60000,7,113333.3333,3,1250,3,17.5,1,3,15,2,1,2.833,2600,330,1.667,2,-99,-99,-99,1,2.75,-99,-99,0,1,0,7,0,0,0,1,0,0,1,0,0,0,0,Beijing,0,8,0,0,0,0,0,0,0,0,0,0,2,1,0,0
5,49,北京市,北京市,顺义区,-1,52,0,0,4,1,5,-99,5,4,2,4,60000,2,38600,0,30000,2,850,3,22.5,0,-99,-99,-99,0,-99,-99,-99,-99,3,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,1,Beijing,0,6,0,0,0,1,0,0,0,0,0,0,1,1,0,0
6,60,北京市,北京市,海淀区,1,57,2,1,4,1,2,-99,4,5,0,3,31200,2,13900,7,15600,2,150,1.214,52.5,1,0.429,22.5,1,1,1,2666.667,60,1,0,4.5,80,2224,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,0,1,0,0,0,0,Beijing,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,0
7,67,北京市,北京市,昌平区,-1,40,2,1,6,4,2,-99,3,3,2,3,50000,3,24500,6,16666.66667,3,1250,2,22.5,1,1,15,3,1,1.5,2633.333,300,1,0,3.5,40,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Beijing,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,77,北京市,北京市,丰台区,1,24,1,0,5,3,-99,-99,3,4,2,4,80000,2,45000,7,40000,1,-99,3,22.5,1,2,37.5,2,1,2.5,3333.333,210,2,0,3.5,40,-99,0,-99,-99,-99,-99,0,0,7,0,0,0,0,0,1,0,0,0,0,0,Beijing,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,78,北京市,北京市,昌平区,-1,52,3,0,4,1,5,1,4,2,0,3,50000,4,37000,7,12500,2,600,2.5,22.5,0,-99,-99,-99,0,-99,-99,-99,-99,2,-99,-99,-99,0,-99,-99,-99,-99,0,0,7,0,0,1,0,0,0,0,0,0,0,0,Beijing,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
