id,province,prefecture,county,gender,age,house_area,resident,media,outside,aware_trust,aware_harm,aware_justice,aware_happy,job,income,raw_income,size,expenditure,live_days,income_percap,num_cooking,power_cooking,freq_cooking,time_cooking,num_water_heater,freq_water_heater,time_water_heater,label_water_heater,num_ac,freq_ac,power_ac,time_ac,label_ac,type_heating,time_heating,area_heating,cost_heating,own_vehicle,emit_vehicle,fuel_vehicle,fuel_price_vehicle,cost_vehicle,vehicle_num_x,vehicle_dist_x,vehicle_fuel_x,vehicle_use_x,fuel1_x,fuel2_x,fuel3_x,fuel4_x,fuel5_x,fuel6_x,fuel7_x,fuel8_x,fuel9_x,fuel10_x,vehicle_num_y,vehicle_dist_y,vehicle_fuel_y,vehicle_use_y,fuel1_y,fuel2_y,fuel3_y,fuel4_y,fuel5_y,fuel6_y,fuel7_y,fuel8_y,fuel9_y,fuel10_y,vehicle_num,vehicle_dist,vehicle_fuel,vehicle_use,fuel1,fuel2,fuel3,fuel4,fuel5,fuel6,fuel7,fuel8,fuel9,fuel10,en_ac,en_computer,en_cooking,en_freezing,en_heating,en_laundry,en_lighting,en_television,en_vehicle,en_waterheating,en_total,en_total_no_vehicle,prefecture_eng,en_total_percap,region,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren,region_codes,en_ac_percap,en_computer_percap,en_cooking_percap,en_freezing_percap,en_heating_percap,en_laundry_percap,en_lighting_percap,en_television_percap,en_vehicle_percap,en_waterheating_percap,en_total_no_vehicle_percap
4,北京市,北京市,朝阳区,-1,66,2,1,4,3,-99,-99,3,3,0,4,72000,4,90000,6,18000.0,2,1250.0,3.0,45.0,1,0.429,90.0,1.0,1,1.0,4000.0,60.0,1.0,0,2.5,105,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,3.266451563,32.59308,487.904625,18.51177041,1913.265306,30.576,4.217928,0.0,0.0,240.0446829,2730.379844,2730.379844,Beijing,682.594961,0,8,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0.81661289075,8.14827,121.97615625,4.6279426025,478.3163265,7.644,1.054482,0.0,0.0,60.011170725,682.594961
14,北京市,北京市,海淀区,-1,51,4,1,4,1,5,2,5,5,0,4,70000,5,-99,7,14000.0,5,-99.0,1.607,45.0,2,0.857,22.5,-99.0,2,1.5,3366.667,120.0,-99.0,1,4.5,120,6000,1,-99.0,11.0,7.5,-99,1,2.25,1,11.0,0,0,0,0,1,0,0,0,0,0,1,2.25,1,11.0,0,0,0,0,1,0,0,0,0,0,1,2.25,1,11.0,0,0,0,0,1,0,0,0,0,0,14.69039063,5.368272,362.7030225,0.0,1129.206122,0.0,2.9525496,0.0,3642.4575,595.0198504,5752.397708,2109.940208,Beijing,1150.479542,0,7,0,0,0,0,0,0,0,0,1,0,2,1,0,0,2.9380781259999997,1.0736544000000001,72.5406045,0.0,225.84122440000002,0.0,0.59050992,0.0,728.4915,119.00397008,421.9880416
16,北京市,北京市,丰台区,-1,80,2,1,4,1,-99,3,4,4,0,0,0,1,18620,7,0.0,2,1250.0,1.714,18.75,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,0,3.5,60,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,202.7449667,31.90946979,1394.081633,0.0,4.026204,33.5517,0.0,0.0,1666.313973,1666.313973,Beijing,1666.313973,0,5,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,202.7449667,31.90946979,1394.081633,0.0,4.026204,33.5517,0.0,0.0,1666.313973
43,北京市,北京市,西城区,1,63,1,1,4,1,-99,3,4,4,0,3,50000,2,21700,7,25000.0,5,600.0,1.05,24.375,1,1.0,37.5,1.0,1,3.5,3333.333,480.0,3.0,0,3.5,40,0,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,109.68825,0.0,200.4149875,14.80941633,529.7142857,7.28,8.8576488,147.62748,0.0,139.79875,1158.190818,1158.190818,Beijing,579.0954092,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,0,54.844125,0.0,100.20749375,7.404708165,264.85714285,3.64,4.4288244,73.81374,0.0,69.899375,579.095409
44,北京市,北京市,大兴区,-1,32,2,1,5,3,-99,2,4,5,2,6,340000,3,60000,7,113333.3333,3,1250.0,3.0,17.5,1,3.0,15.0,2.0,1,2.833,2600.0,330.0,1.667,2,-99.0,-99,-99,1,2.75,-99.0,-99.0,0,1,0.0,7,0.0,0,0,1,0,0,1,0,0,0,0,1,0.0,7,0.0,0,0,1,0,0,1,0,0,0,0,1,0.0,7,0.0,0,0,1,0,0,1,0,0,0,0,0.0,19.683664,240.956625,23.96752027,0.0,0.0,24.157224,0.0,0.0,279.5429444,588.3079777,588.3079777,Beijing,196.1026592,0,8,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.0,6.561221333333333,80.318875,7.989173423333334,0.0,0.0,8.052408,0.0,0.0,93.18098146666667,196.10265923333336
49,北京市,北京市,顺义区,-1,52,0,0,4,1,5,-99,5,4,2,4,60000,2,38600,0,30000.0,2,850.0,3.0,22.5,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,3,-99.0,-99,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,1,0,0,0,0,1,0,0.0,7,0.0,0,0,0,0,1,0,0,0,0,1,0,0.0,7,0.0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Beijing,0.0,0,6,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,北京市,北京市,海淀区,1,57,2,1,4,1,2,-99,4,5,0,3,31200,2,13900,7,15600.0,2,150.0,1.214,52.5,1,0.429,22.5,1.0,1,1.0,2666.667,60.0,1.0,0,4.5,80,2224,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,2.88046875,0.0,531.606712,14.80941633,1858.77551,4.47356,21.025732,120.78612,0.0,280.0521301,2834.409649,2834.409649,Beijing,1417.204825,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1.440234375,0.0,265.803356,7.404708165,929.387755,2.23678,10.512866,60.39306,0.0,140.02606505,1417.2048245
67,北京市,北京市,昌平区,-1,40,2,1,6,4,2,-99,3,3,2,3,50000,3,24500,6,16666.66667,3,1250.0,2.0,22.5,1,1.0,15.0,3.0,1,1.5,2633.333,300.0,1.0,0,3.5,40,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,7,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,7,0.0,0,0,0,0,1,0,0,0,0,0,0.0,49.177206,284.658894,31.90946979,1032.653061,5.43218,6.518616,57.5172,0.0,213.9826888,1681.849316,1681.849316,Beijing,560.6164386,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,16.392402,94.886298,10.63648993,344.217687,1.8107266666666666,2.172872,19.1724,0.0,71.32756293333334,560.6164386666667
77,北京市,北京市,丰台区,1,24,1,0,5,3,-99,-99,3,4,2,4,80000,2,45000,7,40000.0,1,-99.0,3.0,22.5,1,2.0,37.5,2.0,1,2.5,3333.333,210.0,2.0,0,3.5,40,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,7,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,7,0.0,0,0,0,0,1,0,0,0,0,0,0.0,31.874115,217.6218135,0.0,1293.061224,1.789424,8.8576488,44.7356,0.0,139.79875,1737.738576,1737.738576,Beijing,868.8692879,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,15.9370575,108.81090675,0.0,646.530612,0.894712,4.4288244,22.3678,0.0,69.899375,868.869288
78,北京市,北京市,昌平区,-1,52,3,0,4,1,5,1,4,2,0,3,50000,4,37000,7,12500.0,2,600.0,2.5,22.5,0,-99.0,-99.0,-99.0,0,-99.0,-99.0,-99.0,-99.0,2,-99.0,-99,-99,0,-99.0,-99.0,-99.0,-99,0,0.0,7,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,7,0.0,0,1,0,0,0,0,0,0,0,0,0,0.0,7,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,78.60762,19.14568188,0.0,0.559195,4.920916,44.7356,0.0,0.0,147.9690129,147.9690129,Beijing,36.99225322,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,19.651905,4.78642047,0.0,0.13979875,1.230229,11.1839,0.0,0.0,36.992253225
