,Unnamed: 0.1,index,Unnamed: 0,id,ages_mean,gender_codes,family_size,income_list,expenditure_list,resident_codes,region_codes,NumCookingEquip_list,NumWashMach_list,NumDryer_list,NumTV_list,NumPC_list,NumFluLamp_codes,NumIcdLamp_codes,NumESLamp_codes,NumHeater_list,NumWaterHeater_list,NumAC_list,NumVehicle_codes,HouseAge_codes,WindowFrame_codes,GlassType_codes,Reno_WindowGlass_codes,Reno_WindowGap_codes,Reno_Wall_codes,Reno_OtherHeatInsu_codes,WinterSunshine_codes,SummerSunshine_codes,Weektime_list,Cookingtime_codes,Fridgetime_codes,Washmachinetime_codes,TVtime_codes,PCtime_codes,FluLamptime_codes,IcdLamptime_codes,ESLamptime_codes,MthHeattime_codes,DayHeatertime_codes,Waterheatingtime_codes,ACtime_codes,perCapitaHouseholdEmission,perCapitaCookingEmission,perCapitaRefrigerationEmission,perCapitaLaundryEmission,perCapitaTVEmission,perCapitaPCEmission,perCapitaLighteningEmission,perCapitaHeatingEmission,perCapitaWaterheaterEmission,perCapitaACEmission,perCapitaVehicleEmission,TotalEmission,CookingEmission,RefrigerationEmission,LaundryEmission,TVEmission,PCEmission,LighteningEmission,HeatingEmission,WaterheaterEmission,ACEmission,VehicleEmission,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren
0,0,0,1,4,44.25,0,4,72000,90000,0,0,2,1,0,2,1,999999,999999,5.5,999999,1,1,0,999999,999999,1,6,6,6,6,4,6,6,3,4,3,0,2,999999,999999,2,2,999999,4,0,414.3702078,113.560668,3.874002905,,,4.791696,0.613337088,287.7237853,2.29944,1.5072785,,1657.480831,454.242672,15.49601162,,,19.166784,2.453348352,1150.895141,9.19776,6.029114,,8,0,0,0,0,0,0,0,0,0,1,2,1,1
1,1,1,2,14,50.33333333,0,6,70000,9999998,0,0,5,2,0,4,1,999999,999999,5.5,1,2,2,1,4,0,0,3,3,3,3,999999,999999,7,2,4,3,2,1,999999,999999,1,4,8,1,2,789.747965,102.052496,,,,,0.238519979,293.5058823,,,393.9510667,4738.48779,612.314976,,,,,1.431119872,1761.035294,,,2363.7064,7,0,0,0,0,0,0,0,0,1,0,2,1,0
2,2,2,3,16,80,0,1,0,18620,0,0,2,1,0,1,0,999999,999999,2.5,999999,0,0,0,4,2,0,6,5,6,6,1,1,7,1,4,999999,2,999999,999999,999999,3,3,999999,999999,999999,1070.114997,155.087296,27.00820011,0,13.4167488,,1.073339904,873.5294118,,,,1070.114997,155.087296,27.00820011,0,13.4167488,,1.073339904,873.5294118,,,,5,1,1,0,0,0,0,0,0,0,0,1,1,0
3,3,3,4,43,60.5,1,2,50000,21700,0,0,5,1,0,2,0,999999,999999,5.5,999999,1,1,0,5,2,1,5,3,5,6,7,8,7,1,4,2,4,999999,999999,999999,3,3,999999,2,8,689.1831175,77.512932,6.198404645,,26.8334976,,2.146679808,149.3631714,67.067,360.061432,,1378.366235,155.025864,12.39680929,,53.6669952,,4.293359616,298.7263427,134.134,720.122864,,6,0,0,0,1,0,0,0,0,0,0,2,1,0
4,4,4,5,44,53,0,3,340000,60000,0,0,3,1,0,2,2,2.5,999999,2.5,1,1,3,1,7,2,1,5,5,5,5,4,6,7,1,4,1,5,3,3,999999,3,999999,999999,0,5,210.6759916,57.019872,7.26075748,,,4.174099627,2.146679808,,5.633628,134.4409547,,632.0279747,171.059616,21.78227244,,,12.52229888,6.440039424,,16.900884,403.322864,,8,0,0,0,0,0,0,0,0,0,0,2,1,0
5,5,5,6,49,54.5,0,2,60000,38600,1,0,2,0,0,1,0,999999,999999,2.5,999999,0,0,0,999999,0,0,6,6,6,6,5,8,0,1,999999,999999,3,999999,999999,999999,3,999999,999999,999999,999999,0,0,,,,,0,,,,,0,0,,,,,0,,,,,6,0,0,0,1,0,0,0,0,0,0,1,1,0
6,6,6,7,60,71.5,1,2,31200,13900,0,0,2,1,0,1,0,2.5,999999,2.5,999999,1,1,0,4,2,1,5,6,5,6,2,5,7,4,4,2,3,999999,3,999999,0,4,999999,1,0,887.4806985,205.7781362,6.198404645,2.395848,33.541872,,2.772794752,634.117647,1.14972,1.52627575,,1774.961397,411.5562724,12.39680929,4.791696,67.083744,,5.545589504,1268.235294,2.29944,3.0525515,,6,0,0,0,1,0,0,0,0,0,0,2,1,0
7,7,7,8,67,43.5,0,2,50000,24500,0,0,3,1,0,2,1,999999,999999,8.5,999999,1,2,0,4,2,1,5,6,6,6,4,7,6,1,4,2,2,3,999999,999999,2,3,999999,0,4,534.20395,184.530528,13.50410006,3.3541872,5.81903562,0.21562632,2.146679808,291.1764706,2.759328,30.6979945,,1068.4079,369.061056,27.00820011,6.7083744,11.63807124,0.43125264,4.293359616,582.3529412,5.518656,61.395989,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8,8,8,9,77,36.25,1,4,80000,45000,1,0,1,1,0,1,1,999999,999999,5.5,999999,1,1,0,2,2,0,6,6,6,6,2,3,7,1,4,1,2,2,999999,999999,3,3,999999,2,3,1267.866699,987.6048,,,0.080500493,0.061493432,1.073339904,182.3017903,67.067,29.67777483,,5071.466796,3950.4192,,,0.322001971,0.245973728,4.293359616,729.2071611,268.268,118.7110993,,9,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,9,10,78,39.25,0,4,50000,37000,1,0,2,1,0,1,0,999999,999999,5.5,1,0,0,0,3,0,0,5,6,5,6,5,7,7,1,4,2,2,999999,999999,999999,2,999999,1,999999,999999,231.4141549,20.777666,4.051230018,0.00207333,0.100625616,,0.715559936,205.767,,,,925.6566196,83.110664,16.20492007,0.00829332,0.402502464,,2.862239744,823.068,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0
