,Unnamed: 0,id,province,prefecture,county,gender,age,house_area,resident,media,outside,aware_trust,aware_harm,aware_justice,aware_happy,job,income,raw_income,size,expenditure,live_days,income_percap,num_cooking,power_cooking,freq_cooking,time_cooking,num_water_heater,freq_water_heater,time_water_heater,label_water_heater,num_ac,freq_ac,power_ac,time_ac,label_ac,type_heating,time_heating,area_heating,cost_heating,own_vehicle,emit_vehicle,fuel_vehicle,fuel_price_vehicle,cost_vehicle,vehicle_num,vehicle_dist,vehicle_fuel,vehicle_use,fuel1,fuel2,fuel3,fuel4,fuel5,fuel6,fuel7,fuel8,fuel9,fuel10,en_ac,en_computer,en_cooking,en_freezing,en_heating,en_laundry,en_lighting,en_television,en_vehicle,en_waterheating,en_total,en_total_no_vehicle,prefecture_eng,en_total_percap,region,demographicType,IF_single_elderly,IF_singleAE,IF_singleA,IF_couple_elderly,IF_coupleA,IF_singleWithChildren,IF_coupleWithChildren,IF_grandparentKids,IF_bigFamily,childrenNumber,elderNumber,IF_existElderly,IF_existChildren,region_codes,log_en_total,log_en_total_percap,log_expenditure,log_raw_income,log_income_percap,province_id,prefecture_id,cluster
0,0,4,北京市,北京市,朝阳区,-1,66,2,1,4,3,0,0,3,3,0,4,72000,4,90000,6,18000.0,2,1250.0,3.0,45.0,1,0.429,90.0,1.0,1,1.0,4000.0,60.0,1.0,0,2.5,105,0,0,0.0,0.0,0.0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0.108881719,32.59308,487.904625,18.51177041,1913.265306,30.576,4.217928,0.0,0.0,240.0446829,2727.113392,2727.222274,Beijing,681.7783481,0,8,0,0,0,0,0,0,0,0,0,1,2,1,1,0,7.911365584081916,6.526170279814096,11.407576060361786,11.184435286790631,9.798182590890704,0,0,3
1,1,14,北京市,北京市,海淀区,-1,51,4,1,4,1,5,2,5,5,0,4,70000,5,0,7,14000.0,5,0.0,1.607,45.0,2,0.857,22.5,0.0,2,1.5,3366.667,120.0,0.0,1,4.5,120,6000,1,0.0,11.0,7.5,0,1,2.25,1,11.0,0,0,0,0,1,0,0,0,0,0,0.489679688,5.368272,362.7030225,0.0,1129.206122,0.0,2.9525496,0.0,3642.4575,595.0198504,5737.707317,2095.739497,Beijing,1147.541463,0,7,0,0,0,0,0,0,0,0,1,0,2,1,0,0,8.65498925785335,7.0462481236977705,0.0,11.156264806643742,9.546884034617925,0,0,0
2,2,16,北京市,北京市,丰台区,-1,80,2,1,4,1,0,3,4,4,0,0,0,1,18620,7,0.0,2,1250.0,1.714,18.75,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.5,60,0,0,0.0,0.0,0.0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,202.7449667,31.90946979,1394.081633,0.0,4.026204,33.5517,0.0,0.0,1666.313973,1666.313973,Beijing,1666.313973,0,5,1,1,0,0,0,0,0,0,0,0,1,1,0,0,7.4189692111466625,7.4189692111466625,9.832045255081763,0.0,0.0,0,0,2
3,3,43,北京市,北京市,西城区,1,63,1,1,4,1,0,3,4,4,0,3,50000,2,21700,7,25000.0,5,600.0,1.05,24.375,1,1.0,37.5,1.0,1,3.5,3333.333,480.0,3.0,0,3.5,40,0,0,0.0,0.0,0.0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,3.656275,0.0,200.4149875,14.80941633,529.7142857,7.28,8.8576488,147.62748,0.0,139.79875,1048.502568,1052.158843,Beijing,524.2512842,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,0,6.956071586137161,6.263876784272336,9.985113621416073,10.819798284210286,10.12667110305036,0,0,3
4,4,44,北京市,北京市,大兴区,-1,32,2,1,5,3,0,2,4,5,2,6,340000,3,60000,7,113333.3333,3,1250.0,3.0,17.5,1,3.0,15.0,2.0,1,2.833,2600.0,330.0,1.667,2,0.0,0,0,1,2.75,0.0,0.0,0,1,0.0,7,0.0,0,0,1,0,0,1,0,0,0,0,0.0,19.683664,240.956625,23.96752027,0.0,0.0,24.157224,0.0,0.0,279.5429444,588.3079777,588.3079777,Beijing,196.1026592,0,8,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6.378948929339203,5.283724705865395,11.002116507732017,12.73670383776449,11.638097431120604,0,0,3
5,5,49,北京市,北京市,顺义区,-1,52,0,0,4,1,5,0,5,4,2,4,60000,2,38600,0,30000.0,2,850.0,3.0,22.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,7,0.0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Beijing,0.0,0,6,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.0,0.0,10.5610334618531,11.002116507732017,10.308985993422082,0,0,3
6,6,60,北京市,北京市,海淀区,1,57,2,1,4,1,2,0,4,5,0,3,31200,2,13900,7,15600.0,2,150.0,1.214,52.5,1,0.429,22.5,1.0,1,1.0,2666.667,60.0,1.0,0,4.5,80,2224,0,0.0,0.0,0.0,0,0,0.0,7,0.0,0,0,0,0,0,1,0,0,0,0,0.096015625,0.0,531.606712,14.80941633,1858.77551,4.47356,21.025732,120.78612,0.0,280.0521301,2831.529181,2831.625196,Beijing,1415.76459,0,6,0,0,0,1,0,0,0,0,0,0,2,1,0,0,7.948925295055625,7.256131093567371,9.539716058977092,10.348205424565993,9.65509029374725,0,0,3
7,7,67,北京市,北京市,昌平区,-1,40,2,1,6,4,2,0,3,3,2,3,50000,3,24500,6,16666.66667,3,1250.0,2.0,22.5,1,1.0,15.0,3.0,1,1.5,2633.333,300.0,1.0,0,3.5,40,0,0,0.0,0.0,0.0,0,0,0.0,7,0.0,0,0,0,0,1,0,0,0,0,0,0.0,49.177206,284.658894,31.90946979,1032.653061,5.43218,6.518616,57.5172,0.0,213.9826888,1681.849316,1681.849316,Beijing,560.6164386,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.4282436572056625,6.330819123413315,10.106469212026385,10.819798284210286,9.721225994142234,0,0,3
8,8,77,北京市,北京市,丰台区,1,24,1,0,5,3,0,0,3,4,2,4,80000,2,45000,7,40000.0,1,0.0,3.0,22.5,1,2.0,37.5,2.0,1,2.5,3333.333,210.0,2.0,0,3.5,40,0,0,0.0,0.0,0.0,0,0,0.0,7,0.0,0,0,0,0,1,0,0,0,0,0,0.0,31.874115,217.6218135,0.0,1293.061224,1.789424,8.8576488,44.7356,0.0,139.79875,1737.738576,1737.738576,Beijing,868.8692879,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4609151729788294,6.768342956682757,10.714439990727769,11.289794413577894,10.596659732783579,0,0,3
9,9,78,北京市,北京市,昌平区,-1,52,3,0,4,1,5,1,4,2,0,3,50000,4,37000,7,12500.0,2,600.0,2.5,22.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,7,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,78.60762,19.14568188,0.0,0.559195,4.920916,44.7356,0.0,0.0,147.9690129,147.9690129,Beijing,36.99225322,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.003738317203206,3.637382276443602,10.518700218288165,10.819798284210286,9.433563920090563,0,0,3
