,IF_single_elderly,income_percap,TVtime_codes,IF_existChildren,NumPC_list,IF_singleAE,income,NumWaterHeater_list,NumVehicle_codes,Cookingtime_codes,NumDryer_list,NumWashMach_list,NumCookingEquip_list,IF_coupleWithChildren,resident_codes,raw_income,percapita_en_total_no_vehicle,size,Reno_OtherHeatInsu_codes,IF_existElderly,IF_singleA,SummerSunshine_codes,GlassType_codes,IF_coupleA,elderNumber,resident,demographicType,NumTV_list,live_days,IF_grandparentKids,childrenNumber,NumAC_list,Reno_WindowGap_codes,ages_mean,IF_couple_elderly,gender_codes,HouseAge_codes,job,WinterSunshine_codes,WindowFrame_codes,Reno_WindowGlass_codes,IF_singleWithChildren,Reno_Wall_codes,IF_bigFamily,Weektime_list,cluster
8,0,40000.0,2.0,0,1,0,4,1,0,1.0,0,1,1,0,1.0,80000.0,868.869288,2,6.0,0,0,3.0,0.0,0,0,0,9,1,7,0,0,1,6.0,36.25,0,1,2.0,2,2.0,2.0,6.0,0,6.0,0,7,0
9,0,12500.0,2.0,0,0,0,3,0,0,1.0,0,1,2,0,1.0,50000.0,36.992253225,4,6.0,0,0,7.0,0.0,0,0,0,9,1,7,0,0,0,6.0,39.25,0,0,3.0,0,5.0,0.0,5.0,0,5.0,0,7,1
26,0,25000.0,3.0,0,1,0,3,1,0,1.0,0,1,2,0,1.0,50000.0,629.489414,2,5.0,1,0,7.0,1.0,0,2,0,6,1,7,0,0,1,5.0,56.5,1,0,4.0,2,5.0,2.0,5.0,0,5.0,0,7,0
29,0,16666.66667,5.0,0,0,0,3,1,0,2.0,0,1,6,0,1.0,50000.0,245.0575589,3,6.0,1,0,7.0,0.0,0,2,0,8,1,7,0,0,2,6.0,46.5,0,1,1.0,0,6.0,1.0,0.0,0,6.0,0,7,1
62,0,40000.0,0.0,0,1,0,4,0,0,2.0,0,0,3,0,1.0,80000.0,88.124944,2,6.0,0,0,5.0,0.0,1,0,0,1,1,7,0,0,1,6.0,35.0,0,1,5.0,2,3.0,1.0,6.0,0,6.0,0,7,0
89,0,80000.0,2.0,0,1,1,4,2,0,1.0,0,1,6,0,1.0,80000.0,659.8520338,1,6.0,0,1,8.0,0.0,0,0,0,0,1,6,0,0,1,6.0,26.0,0,1,6.0,2,6.0,0.0,6.0,0,6.0,0,6,0
100,0,62500.0,3.0,0,2,0,6,1,0,2.0,0,1,8,0,1.0,250000.0,567.95642725,4,5.0,1,0,3.0,0.0,0,2,0,8,1,7,0,0,1,5.0,44.5,0,0,4.0,2,2.0,2.0,5.0,0,6.0,0,7,0
152,0,0.0,1.0,1,1,0,0,1,0,0.0,0,0,3,0,1.0,0.0,49.066069000000006,7,6.0,1,0,2.0,0.0,0,1,0,7,1,7,0,2,0,6.0,33.55555556,0,1,6.0,2,1.0,3.0,6.0,0,6.0,1,7,1
188,1,66666.66667,2.0,0,0,1,5,1,0,5.0,0,1,4,0,1.0,200000.0,110.8743903,3,5.0,1,0,7.0,1.0,0,1,0,5,1,6,0,0,3,5.0,66.0,0,0,6.0,0,8.0,2.0,5.0,0,5.0,0,6,0
286,0,16666.66667,5.0,1,1,0,3,0,0,2.0,0,1,1,1,1.0,50000.0,116.89119849999999,3,6.0,0,0,7.0,0.0,0,0,0,2,1,7,0,2,0,4.0,25.25,0,0,2.0,2,6.0,0.0,4.0,0,6.0,0,7,1
287,0,36000.0,1.0,0,1,0,3,1,0,3.0,0,2,1,0,1.0,36000.0,282.1138775,1,6.0,0,0,8.0,1.0,0,0,0,9,2,7,0,0,2,6.0,37.25,0,0,7.0,0,7.0,0.0,6.0,0,6.0,0,7,0
288,0,4000.0,4.0,0,1,0,2,1,1,3.0,0,1,2,0,1.0,20000.0,188.10890404,5,6.0,1,0,3.0,0.0,0,2,0,7,2,7,0,0,1,6.0,45.4,0,0,6.0,0,3.0,0.0,6.0,0,6.0,1,7,1
289,0,22500.0,2.0,1,1,0,3,0,0,2.0,0,2,1,1,1.0,45000.0,99.7294935,2,6.0,0,0,8.0,0.0,0,0,0,2,3,7,0,2,1,6.0,25.25,0,0,5.0,0,6.0,1.0,6.0,0,6.0,0,7,0
293,0,6000.0,1.0,1,1,0,3,1,0,2.0,0,1,2,0,1.0,30000.0,89.49198872,5,6.0,0,0,3.0,0.0,0,0,0,7,1,7,0,2,1,6.0,25.0,0,0,6.0,1,2.0,0.0,6.0,0,6.0,1,7,1
294,0,6666.666667,2.0,1,0,0,2,1,0,1.0,0,1,3,1,1.0,20000.0,183.42841723333333,3,6.0,0,0,8.0,0.0,0,0,0,2,1,7,0,1,0,6.0,33.0,0,1,6.0,2,6.0,0.0,6.0,0,6.0,0,7,1
297,0,33333.33333,3.0,1,1,0,4,1,1,1.0,0,1,22,1,1.0,100000.0,769.559518,3,6.0,0,0,7.0,1.0,0,0,0,2,1,7,0,1,2,6.0,22.33333333,0,0,6.0,2,6.0,2.0,6.0,0,6.0,0,7,0
298,0,1333.333333,3.0,0,1,0,1,1,0,2.0,0,1,3,0,1.0,8000.0,106.85777583333333,6,6.0,1,0,8.0,0.0,0,2,0,6,1,7,0,0,0,6.0,69.5,1,1,3.0,2,6.0,0.0,6.0,0,6.0,0,7,1
